"arr";"stations";"entrées";"stationsMétro";"entréesMétro";"stationsRER";"entréesRER"
1;8;79601157;7;53583464;1;26017693
2;4;16409815;4;16409815;NA;NA
3;6;20116891;6;20116891;NA;NA
4;6;25525758;6;25525758;NA;NA
5;7;27722629;5;18690162;2;9032467
6;9;27514670;9;27514670;NA;NA
7;11;32024056;11;32024056;NA;NA
8;15;112494323;15;112494323;NA;NA
9;14;72358271;13;66189210;1;6169061
10;11;153953763;10;106194052;1;47759711
11;16;62492993;16;62492993;NA;NA
12;21;154730398;19;113799871;2;40930527
13;18;82487373;18;82487373;NA;NA
14;14;82207942;12;71013345;2;11194597
15;19;69479514;19;69479514;NA;NA
16;20;59916243;20;59916243;NA;NA
17;16;66867722;15;58371919;1;8495803
18;13;66006826;13;66006826;NA;NA
19;15;48633583;15;48633583;NA;NA
20;11;38871018;11;38871018;NA;NA
